church_name,church_url,city,state,size,denomination
Alief Baptist Church,http://www.aliefbaptistchurch.org,Houston,TX,2406,Southern Baptist Convention
All Nations Church,http://www.onnurila.com,Lakeview Terrace,CA,2000,Unknown (unspecified)
All Nations Community Church,http://www.ancchurch.org,Homewood,IL,2000,"Independent, Nondenominational"
Allegheny Center Alliance Church,http://www.acac.net,Pittsburgh,PA,2700,Christian & Missionary Alliance
Allen AME Church,http://www.allencathedral.org,Jamaica,NY,6150,African Methodist Episcopal
Allen Temple Baptist Church,http://www.allen-temple.org,Oakland,CA,5500,Progressive National Baptist
Alliance Missionary Church,http://www.alliancemissionarychurch.org,Marshfield,WI,1800,Christian & Missionary Alliance
Alpha and Omega Church,http://www.alpha-omega.org,Miami,FL,2100,"Independent, Nondenominational"
Anastasia Baptist Church,http://www.anastasiabaptist.org,Saint Augustine,FL,1510,Southern Baptist Convention
Anchorage Baptist Temple,http://www.ancbt.org,Anchorage,AK,2200,Baptist (unspecified)
Antioch Baptist Church,http://www.antioch-church.org,Fairfax Station,VA,1800,Southern Baptist Convention
Antioch Baptist Church North,http://www.antiochnorth.org,Atlanta,GA,4000,National Baptist Convention
Antioch Bible Church,http://www.abchurch.org,Redmond,WA,3500,"Independent, Nondenominational"
Antioch Community Church,http://www.antiochcc.net,Waco,TX,2500,"Independent, Nondenominational"
Antioch Fellowship Missionary Baptist Church,http://www.afmbc.org,Dallas,TX,2000,Missionary Baptist
Antioch Missionary Baptist Church,http://www.antiochmiamigardens.com/,Miami Gardens,FL,7000,Missionary Baptist
Antioch Missionary Baptist Church,http://www.antiochbmt.org,Beaumont,TX,2800,Missionary Baptist
Apex Church,http://www.apexchurch.org,Las Vegas,NV,3500,"Independent, Nondenominational"
Apex Community Church,http://www.apexcommunity.net,Kettering,OH,2500,Southern Baptist Convention
Apostolic Church of Auburn Hills,http://www.theapostolicchurch.com,Auburn Hills,MI,3000,United Pentecostal Church International
Apostolic Church of God,http://www.acog-chicago.org,Chicago,IL,8000,Pentecostal Assemblies of the World
Apostolic Faith Church,http://www.afcchicago.org,Chicago,IL,2000,Pentecostal Assemblies of the World
Applegate Christian Fellowship,http://www.applegatefellowship.org,Jacksonville,OR,7000,Calvary Churches
Appleton Alliance Church,http://www.appletonalliance.org,Appleton,WI,3000,Christian & Missionary Alliance
Arcade Baptist Church,http://www.arcadebaptist.org,Sacramento,CA,2000,CBA
Ark Family Church,http://www.arkchurch.org,Conroe,TX,4200,"Independent, Nondenominational"
Ark of Safety Christian Church,http://www.thearkofsafety.org,Upper Marlboro,MD,2000,"Independent, Nondenominational"
Asbury United Methodist Church,http://www.asburyumcmadison.com,Madison,AL,2500,United Methodist Church
Asbury United Methodist Church,http://www.asburytulsa.org,Tulsa,OK,3274,United Methodist Church
Atascadero Bible Church,http://www.abcchurch.org,Atascadero,CA,3000,"Independent, Nondenominational"
Athens Church,http://www.athenschurch.com,Athens,GA,2000,Unknown (unspecified)
Atlanta Berean Church,http://atlantabereansda.org,Atlanta,GA,2500,Seventh-day Adventist
Atlantic Shores Baptist Church,http://www.asbc.net,Virginia Beach,VA,2000,Southern Baptist Convention
Austin Christian Fellowship,http://www.acfellowship.org,Austin,TX,1800,"Independent, Nondenominational"
Austin Ridge Bible Church,http://www.austinridge.org,Austin,TX,2600,Unknown (unspecified)
Avalon Church,http://www.avalonchurch.net,McDonough,GA,1300,Southern Baptist Convention
Bandera Road Community Church,http://www.brcc.net,San Antonio,TX,4950,"Independent, Nondenominational"
Bannockburn Baptist Church,http://www.bbcfamily.com,Austin,TX,2000,Baptist (unspecified)
Baptist Temple Church,http://www.btmcallen.com,McAllen,TX,2000,Southern Baptist Convention
Barefoot Church,http://www.barefootchurch.com,North Myrtle Beach,SC,2000,Unknown (unspecified)
Bates Memorial Baptist Church,http://www.batesmemorial.com,Louisville,KY,3000,Southern Baptist Convention
Bay Area Christian Church,http://www.bacc.cc,Palo Alto,CA,3500,"Independent, Nondenominational"
Bay Area Fellowship,http://www.bayareafellowship.com,Corpus Christi,TX,6957,Southern Baptist Convention
Bay Leaf Baptist Church,http://www.bayleaf.org,Raleigh,NC,1400,Southern Baptist Convention
Bay Life Church,http://www.baylife.org,Brandon,FL,2500,Southern Baptist Convention
Bayside Baptist Church,http://www.baysidebaptist.org,Harrison,TN,1300,Southern Baptist Convention
Bayside Church,http://www.baysideonline.com,Roseville,CA,20000,Evangelical Covenant
Bayside Community Church,http://www.baysidecommunity.org,Bradenton,FL,2000,Unknown (unspecified)
Bayside of South Sacramento,http://www.bossonline.org,Sacramento,CA,2500,Evangelical Covenant
Bayview Baptist Church,http://www.bayviewbc.org,San Diego,CA,1800,Baptist (unspecified)
Beach United Methodist Church,http://www.beachunitedmethodist.com,Jacksonville Beach,FL,2069,United Methodist Church
Bear Creek Baptist Church,http://www.bc-bc.org,Katy,TX,3098,Southern Baptist Convention
Beaverton Foursquare Church,http://www.beavertonfoursquare.org,Beaverton,OR,5600,Four Square
Bel Air Presbyterian Church,http://www.belairpres.org,Los Angeles,CA,2394,"Presbyterian Church, U.S.A."
Bell Shoals Baptist Church,http://www.bellshoals.com,Brandon,FL,2985,Southern Baptist Convention
Bellevue Baptist Church,http://www.bellevue.org,Cordova,TN,6806,Southern Baptist Convention
Bellevue Christian Center,http://www.bellevuechristian.com,Bellevue,NE,2500,CHRISTIAN
Belmont Church,http://www.belmont.org,Nashville,TN,2000,"Independent, Nondenominational"
Beltway Park Baptist Church,http://www.beltway.org,Abilene,TX,2700,Southern Baptist Convention
Bent Tree Bible Fellowship,http://www.benttree.org,Carrollton,TX,4500,"Independent, Nondenominational"
Berean Baptist Church,http://www.bereanbaptist.com,Burnsville,MN,2100,Baptist General Conference
Berean Christian Church,http://www.bereanchristianchurch.org,Stone Mountain,GA,7000,"Independent, Nondenominational"
Berendo Street Baptist Church,http://www.bsbc.us,Los Angeles,CA,2000,Baptist (unspecified)
Bethany at Chester Road,http://www.bethanychurch.com,Raymond,NH,2000,"Independent, Nondenominational"
Bethany Baptist Church,http://www.bethanybcbrooklyn.org,Brooklyn,NY,1800,Southern Baptist Convention
Bethany Baptist Church,http://www.go2bethany.com,Lindenwold,NJ,6000,"Independent, Nondenominational"
Bethany Church,http://www.bethanychurch.net,Wayne,NJ,2500,Korean Presbyterian Church
Bethany Community Church,http://www.churchbcc.org,Seattle,WA,2874,"Independent, Nondenominational"
Bethany First Church of the Nazarene,http://www.bethanynaz.org,Bethany,OK,2361,Church of the Nazarene
Bethany Lutheran Church,http://www.blcms.org,Austin,TX,2200,Lutheran (unspecified)
Bethany Slavic Missionary Church,http://www.bethanysmc.org,Sacramento,CA,5700,"Independent, Nondenominational"
Bethany World Prayer Center,http://www.bethany.com,Baker,LA,8000,"Independent, Nondenominational"
Bethel African Methodist Episcopal Church,http://www.bethel1.org,Baltimore,MD,2000,African Methodist Episcopal
Bethel Baptist Institutional Church,http://www.bethelite.org,Jacksonville,FL,12000,Baptist (unspecified)
Bethel Church,http://www.bethelfc.com,Fargo,ND,2500,Evangelical Free
Bethel Church,http://www.bethelchurchirvine.org,Irvine,CA,4300,Southern Baptist Convention
Bethel Church,http://www.bethel-church.org,Richland,WA,2400,Unknown (unspecified)
Bethel Church,http://www.bethelweb.org,Crown Point,IN,2500,General Baptist Association
Bethel Church,http://www.bethel.com,Redding,CA,11000,"Independent, Nondenominational"
Bethel Church of San Jose,http://www.bethel.org,San Jose,CA,2200,Assemblies of God
Bethel Gospel Tabernacle,http://www.bgtfi.com,Jamaica,NY,2000,"Independent, Nondenominational"
Bethel Lutheran Church,http://bethel-madison.org,Madison,WI,1800,Lutheran (unspecified)
Bethel Missionary Baptist Church,http://betheltally.org,Tallahassee,FL,6000,Missionary Baptist
Bethel Temple Assembly of God,http://www.bethel-temple.org,Hampton,VA,2613,Assemblies of God
Bethel Temple Community Church,http://www.betheltemple.org,Evansville,IN,2000,"Independent, Nondenominational"
Bethel World Outreach Center,http://www.bwoc.org,Brentwood,TN,3500,"Independent, Nondenominational"
Bethel World Outreach Church,http://www.bwomi.org,Silver Spring,MD,2000,Unknown (unspecified)
Bethel’s Family,http://www.bethelsfamily.org,Houston,TX,2700,Southern Baptist Convention
Bethlehem Baptist Church,http://www.hopeingod.org,Minneapolis,MN,4600,Baptist General Conference
Bethlehem Church,http://www.bethlehembc.com,Gastonia,NC,2700,Southern Baptist Convention
Beulah Alliance Church,http://www.beulah.ca,Edmonton,AB,2400,Christian & Missionary Alliance
Beulah Missionary Baptist Church,http://www.beulahbaptist.org,Decatur,GA,5000,Missionary Baptist
Beulahland Bible Church,http://www.beulahland.org,Macon,GA,3500,"Independent, Nondenominational"
Bible Center Church,http://www.biblecenterchurch.com,Charleston,WV,2500,"Independent, Nondenominational"
Bible Way Church of Atlas Road,http://www.bwcar.org,Columbia,SC,7000,"Independent, Nondenominational"
Bible Way Temple,http://www.biblewaychurch.org,Washington,DC,3500,Unknown (unspecified)
Big Valley Grace Community Church,http://www.bvg.org,Modesto,CA,3800,"Independent, Nondenominational"
Biltmore Baptist Church,http://www.biltmorebaptist.org,Arden,NC,6021,Southern Baptist Convention
Black Rock Congregational Church,http://www.brcc.org,Fairfield,CT,2000,"Independent, Nondenominational"
Blackhawk Baptist Church,http://www.blackhawkministries.org,Fort Wayne,IN,2000,Baptist General Conference
Blackhawk Church,http://www.blackhawkchurch.org,Verona,WI,4000,Evangelical Free
Blackshear Place Baptist Church,http://www.bpbc.com,Flowery Branch,GA,2875,Southern Baptist Convention
Blue Ridge Community Church,http://www.blue-ridge.org,Forest,VA,2000,"Independent, Nondenominational"
Blythefield Hills Baptist Church,http://www.bhbconline.org,Rockford,MI,2020,Baptist (unspecified)
Bonita Valley Community Church,http://www.bonitavalley.com,Bonita,CA,2100,Assemblies of God
Boston Avenue United Methodist Church,http://www.bostonavenue.org,Tulsa,OK,2004,United Methodist Church
Boston Church of Christ,http://www.bostoncoc.org,Waltham,MA,2200,ICOC
Braeswood Assembly of God,http://www.braeswoodchurch.org,Houston,TX,2300,Assemblies of God
Brainerd Baptist Church,http://www.brainerdbaptist.org,Chattanooga,TN,2000,Baptist (unspecified)
Bramalea Baptist Church,http://www.bramalea.org,Bramalea,ON,1800,Evangelical
Brand New Church,http://www.brandnewchurch.com,Harrison,AR,3000,Unknown (unspecified)
Brentwood Baptist Church,http://www.brentwoodbaptist.org,Houston,TX,3000,Southern Baptist Convention
Brentwood Baptist Church,http://www.brentwoodbaptist.com,Brentwood,TN,5637,Southern Baptist Convention
Brentwood United Methodist Church,http://www.bumc.net,Brentwood,TN,2484,United Methodist Church
Briarwood Presbyterian Church,http://www.briarwood.org,Birmingham,AL,3800,Presbyterian Church of America
Bridge Street AME,http://Missing,Brooklyn,NY,2500,African Methodist Episcopal
Bridgeway Community Church,http://www.bridgewayonline.org,Columbia,MD,3500,"Independent, Nondenominational"
Bright Hope Baptist Church,http://www.brighthopebaptist.org,Philadelphia,PA,2000,Baptist (unspecified)
Bright Russian Baptist Church,http://www.brytechurch.org,West Sacramento,CA,2500,Baptist (unspecified)
Brightmoor Christian Church,http://www.brightmoorcc.org,Novi,MI,2000,Assemblies of God
Broadmoor Baptist Church,http://www.broadmoor.org,Madison,MS,2000,Southern Baptist Convention
Broadmoor Baptist Church,http://broadmoorbaptist.org,Shreveport,LA,2300,Southern Baptist Convention
Broadview Missionary Baptist Church,http://www.broadviewbaptist.org,Broadview,IL,2500,Baptist (unspecified)
Broadway Church,http://www.broadwaychurch.com,Vancouver,BC,2100,Unknown (unspecified)
Broken Arrow Baptist Church,http://www.fbcba.org,Tulsa,OK,2092,Southern Baptist Convention
Brookins Community AME Church,http://www.bcamechurchla.org,Los Angeles,CA,2000,African Methodist Episcopal
Brookland Baptist Church,http://www.brooklandbaptist.org,West Columbia,SC,8075,Baptist (unspecified)
Brooklyn Tabernacle,http://www.brooklyntabernacle.org,Brooklyn,NY,10000,"Independent, Nondenominational"
Brookwood Church,http://www.brookwoodchurch.org,Simpsonville,SC,6103,Southern Baptist Convention
Brown Missionary Baptist Church,http://brownbaptist.org,Southaven,MS,3257,Baptist (unspecified)
Brushy Creek Baptist Church,http://www.brushycreek.org,Taylors,SC,2000,Southern Baptist Convention
Burnt Hickory Baptist Church,http://burnthickory.com,Powder Springs,GA,2065,Southern Baptist Convention
C3 Church,http://www.c3church.com,Clayton,NC,3852,"Independent, Nondenominational"
Calvary Assembly,http://www.calvaryassembly.org,Decatur,AL,2200,Assemblies of God
Calvary Austin,http://www.calvaryaustin.org,Pflugerville,TX,2500,Calvary Churches
Calvary Baptist Church,http://www.calvary-baptistchurch.org,Morristown,NJ,1800,Baptist (unspecified)
Calvary Baptist Church,http://www.cbcnyc.org,New York,NY,2000,Baptist (unspecified)
Calvary Baptist Church,http://www.calvaryrose.org,Roseville,MN,1800,Baptist General Conference
Calvary Baptist Church,http://www.cbclascruces.org,Las Cruces,NM,1800,Southern Baptist Convention
Calvary Baptist Church,http://www.calvaryontheweb.com,Beaumont,TX,2350,Southern Baptist Convention
Calvary Baptist Church,http://www.calvarynow.com,Winston Salem,NC,5000,Southern Baptist Convention
Calvary Baptist Church,http://www.calvarybaptist.org,Clearwater,FL,2419,Southern Baptist Convention
Calvary Bible Church,http://www.calvarybible.org,Kalamazoo,MI,2000,"Independent, Nondenominational"
Calvary Bible Church,http://www.calvarybiblechurch.org,Burbank,CA,2600,"Independent, Nondenominational"
Calvary Bible Fellowship,http://www.ccbf.net,Temecula,CA,2500,"Independent, Nondenominational"
Calvary Chapel,http://www.calvarychapelsb.com,Santa Barbara,CA,2200,Calvary Churches
Calvary Chapel,http://calvarychapel.com/spokane,Spokane,WA,2600,Calvary Churches
Calvary Chapel,http://www.cccary.org,Apex,NC,2000,Calvary Churches
Calvary Chapel,http://ccdowney.com,Downey,CA,9000,Calvary Churches
Calvary Chapel Boise,http://www.ccboise.org,Boise,ID,6000,Calvary Churches
Calvary Chapel Chino Valley,http://www.calvaryccv.org,Chino,CA,8300,Calvary Churches
Calvary Chapel Fort Lauderdale,http://www.calvaryftl.org,Fort Lauderdale,FL,16283,Calvary Churches
Calvary Chapel Golden Springs,http://www.calvarygs.org,Diamond Bar,CA,12000,Calvary Churches
Calvary Chapel Kendall,http://www.calvarykendall.com,Miami,FL,2200,Calvary Churches
Calvary Chapel La Habra,http://www.calvarylahabra.org,La Habra,CA,2100,Calvary Churches
Calvary Chapel Modesto,http://ccmodesto.com,Modesto,CA,4000,Calvary Churches
Calvary Chapel Montebello,http://ccmtb.com,Montebello,CA,2500,Calvary Churches
Calvary Chapel of Albuquerque,http://www.calvarynm.church,Albuquerque,NM,16830,Calvary Churches
Calvary Chapel of Boston,http://www.calvarychapelboston.com,Rockland,MA,3700,Calvary Churches
Calvary Chapel of Costa Mesa,http://www.calvarychapelcostamesa.org,Santa Ana,CA,9500,Calvary Churches
Calvary Chapel of Honolulu,http://www.calvarychapelofhonolulu.com,Aiea,HI,1800,Calvary Churches
Calvary Chapel of Melbourne,http://www.calvaryccm.com,West Melbourne,FL,10000,Calvary Churches
Calvary Chapel of Oceanside,http://www.calvaryoceanside.org,Oceanside,CA,2500,Calvary Churches
Calvary Chapel of Old Bridge,http://www.ccob.org,Old Bridge,NJ,4500,Calvary Churches
Calvary Chapel of Philadelphia,http://www.ccphilly.org,Philadelphia,PA,12000,Calvary Churches
Calvary Chapel of Prescott,http://www.calvaryprescott.com,Prescott,AZ,2000,Calvary Churches
Calvary Chapel of Saint Petersburg,http://www.calvarystp.org,Pinellas Park,FL,3500,Calvary Churches
Calvary Chapel of Vista,http://www.calvaryvista.org,Vista,CA,3000,Calvary Churches
Calvary Chapel Rancho Santa Margarita,http://www.ccrsm.net,Rancho Santa Margarita,CA,2000,Calvary Churches
Calvary Chapel South Bay,http://www.ccsouthbay.org,Gardena,CA,9200,Calvary Churches
Calvary Chapel Spring Valley,http://ccspringvalley.org,Las Vegas,NV,3000,Calvary Churches
Calvary Chapel Stone Mountain,http://calvarycsm.com,Lilburn,GA,2000,Calvary Churches
Calvary Chapel Westgrove,http://www.ccwg.org,Garden Grove,CA,1800,Calvary Churches
Calvary Christian Center,http://www.calvarychristian.com,Sacramento,CA,5500,"Independent, Nondenominational"
Calvary Christian Center,http://www.calvarychristiancenter.com,Ormond Beach,FL,7120,"Independent, Nondenominational"
Calvary Church,http://www.calvarychurch.cc,Irving,TX,4500,Assemblies of God
Calvary Church,http://www.calvarynaperville.org,Naperville,IL,7070,Assemblies of God
Calvary Church,http://www.calvarymidrivers.org,Saint Peters,MO,3500,Evangelical Free
Calvary Church,http://www.calvary-church.com,Souderton,PA,2100,"Independent, Nondenominational"
Calvary Church,http://calvarychurch.org,Lancaster,PA,2500,"Independent, Nondenominational"
Calvary Church,http://www.calvarygr.com,Grand Rapids,MI,4500,"Independent, Nondenominational"
Calvary Church,http://www.calvarychurch.com,Charlotte,NC,2348,"Independent, Nondenominational"
Calvary Church of Santa Ana,http://www.calvarylife.org,Santa Ana,CA,3100,"Independent, Nondenominational"
Calvary Community Church,http://www.cccsumner.org,Sumner,WA,3000,"Independent, Nondenominational"
Calvary Community Church,http://www.calvarycc.org,Westlake Village,CA,3200,Calvary Churches
Calvary Fellowship Church,http://www.calvary-fellowship.org,Downingtown,PA,2000,"Independent, Nondenominational"
Calvary Fellowship Church,http://www.calvaryfellowship.org,Mountlake Terrace,WA,1900,Unknown (unspecified)
Calvary Houston,http://www.calvaryh.org,Friendswood,TX,2000,"Independent, Nondenominational"
Calvary Lutheran Church,http://www.calvary.org,Golden Valley,MN,2300,Lutheran (unspecified)
Calvary Murietta,http://www.ccmurrieta.com,Murietta,CA,2000,Calvary Churches
Calvary Ph7oenix,http://www.calvaryphx.com,Phoenix,AZ,4000,Calvary Churches
Calvary Revival Church,http://www.crcglobal.org,Norfolk,VA,8000,"Independent, Nondenominational"
Calvary Tabernacle,http://www.calvarytabindy.org,Indianapolis,IN,3000,United Pentecostal Church International
Calvary Temple,http://www.calvarytempleindy.org,Indianapolis,IN,2100,United Pentecostal Church
Calvary Temple,http://www.calvarytemple1.org,Concord,CA,2150,Assemblies of God
Calvary Temple,http://www.calvaryspringfield.org,Springfield,IL,2500,Assemblies of God
Calvary Temple,http://www.ctwinnipeg.com,Winnipeg,MB,2000,"Independent, Nondenominational"
Calvary Tucson,http://www.calvarytucson.org,Tucson,AZ,5000,"Independent, Nondenominational"
Calvary Worship Center,http://www.cwccs.org,Colorado Springs,CO,2000,"Independent, Nondenominational"
Campus Church,http://www.campuschurch.com,Pensacola,FL,7000,CHRISTIAN
Campus Hill Church,http://www.campushillchurch.net,Loma Linda,CA,2000,Seventh-day Adventist
Canaan Baptist Church of Christ,http://www.canaanbaptistchurchny.org,New York,NY,3000,Baptist (unspecified)
Canaan Christian Church,http://www.canaanchristian.com,Louisville,KY,2500,Baptist (unspecified)
Canton Baptist Temple,http://www.cantonbaptist.org,Canton,OH,1800,Baptist (unspecified)
Canyon Hills Community Church,http://www.canyonhillscommunitychurch.com,Bothell,WA,2100,"Independent, Nondenominational"
Canyon Ridge Christian Church,http://www.canyonridge.org,Las Vegas,NV,6500,CHRISTIAN
Canyon View Vineyard Church,http://www.canyonviewchurch.com,Grand Junction,CO,4500,Vineyard
Cape First,http://www.capefirst.org,Cape Girardeau,MO,2800,Assemblies of God
Capital Christian Center,http://www.ccconline.cc,Sacramento,CA,4150,Assemblies of God
Capital Christian Center,http://www.mycapitalchristian.com,Meridian,ID,3000,"Independent, Nondenominational"
Capo Beach Calvary,http://www.capocalvary.com,Capistrano Beach,CA,2200,"Independent, Nondenominational"
Carmel Baptist Church,http://www.carmelbaptist.org,Matthews,NC,2647,Southern Baptist Convention
Casa del Rey,http://www.casadelrey.info,Alburquerque,NM,3100,Assemblies of God
Casas Church,http://www.casaschurch.org,Tucson,AZ,2100,Southern Baptist Convention
Cascade Community Church,http://www.cascadechurch.org,Monroe,WA,2000,"Independent, Nondenominational"
Cascade Hills Church,http://www.cascadehills.com,Columbus,GA,4420,Southern Baptist Convention
Cascade United Methodist Church,http://www.cascadeumc.org,Atlanta,GA,1800,United Methodist Church
Cathedral At Chapel Hill,http://www.mycathedral.org,Decatur,GA,2000,"Independent, Nondenominational"
Cathedral International,http://www.thecathedral.org,Perth Amboy,NJ,3000,Baptist (unspecified)
Cathedral of Faith,http://www.cathedraloffaith.org,San Jose,CA,7800,"Independent, Nondenominational"
Cathedral of Hope,http://www.cathedralofhope.com,Dallas,TX,1800,United Church of Christ
Cathedral of Praise,http://www.cathedralofpraise.org,Charleston,SC,2700,"Independent, Nondenominational"
Cathedral of Praise,http://www.thecathedral.tv,Oklahoma City,OK,1800,Pentecostal (unspecified)
Cedar Creek Church,http://www.cedarcreekchurch.net,Aiken,SC,3000,"Independent, Nondenominational"
Cedar Mill Bible Church,http://www.cmbc.org,Portland,OR,1900,"Independent, Nondenominational"
Cedar Ridge Community Church,http://www.crcc.org,Spencerville,MD,2000,Unknown (unspecified)
Cedar Springs Presbyterian Church,http://www.cspc.net,Knoxville,TN,2700,Evangelical Presbyterian Church
Cedar Valley Church,http://www.cvchurch.org,Bloomington,MN,2000,Assemblies of God
CedarCreek.tv,http://www.cedarcreek.tv,Perrysburg,OH,9155,"Independent, Nondenominational"
Celebrate Church,http://www.celebratesf.org,Sioux Falls,SD,3500,Unknown (unspecified)
Celebration Church,http://www.wininlife.com,Columbia,MD,2500,"Church of God, Cleveland"
Celebration Church,http://www.celebrationchurchtx.com,Georgetown,TX,5000,"Independent, Nondenominational"
Celebration Church,http://www.celebrationchurch.org,Metairie,LA,3260,Southern Baptist Convention
Celebration Church,http://www.celebration.org,Jacksonville,FL,3745,Unknown (unspecified)
Celebration Church – Bayside,http://www.celebrationchurch.tv,Green Bay,WI,4000,"Independent, Nondenominational"
Central Assembly of God Church,http://www.centralassembly.org,Springfield,MO,2468,Assemblies of God
Central Baptist Bearden,http://www.cbcbearden.org,Knoxville,TN,2000,Southern Baptist Convention
Central Baptist Church,http://www.centralbaptist.com,Marked Tree,AR,2300,Southern Baptist Convention
Central Baptist Church,http://www.centralbaptist.com,Jonesboro,AR,2604,Southern Baptist Convention
Central Baptist Church,http://www.cbcbryan.org,College Station,TX,3000,Southern Baptist Convention
Central Christian Church,http://www.centralaz.com,Mesa,AZ,8786,CHRISTIAN
Central Christian Church,http://www.centralonline.tv,Henderson,NV,21055,CHRISTIAN
Central Christian Church,http://www.thenewcentral.com,Mt Vernon,IL,1833,CHRISTIAN
Central Christian Church,http://www.ccc.org,Wichita,KS,3245,CHRISTIAN
Central Christian Church,http://www.centralwired.com,Beloit,WI,1981,CHRISTIAN
Central Christian Church,http://www.centralchristian.org,Lancaster,CA,2200,"Independent, Nondenominational"
Central Church,http://www.centralchurch.com,Collierville,TN,2500,"Independent, Nondenominational"
Central Church of God,http://www.centralchurchofgod.org,Charlotte,NC,6000,"Church of God, Cleveland"
Central Community Church,http://www.centralcommunity.org,Wichita,KS,2100,"Church of God, Anderson"
Central Wesleyan Church,http://www.centralwesleyan.org,Holland,MI,3000,Wesleyan
Centre Street Church,http://www.cschurch.ca,Calgary,AB,7000,Evangelical
Centro Cristiano Ministries,http://www.ncwsection.com,Manson,WA,2000,"Independent, Nondenominational"
Champion Forest Baptist Church,http://www.championforest.org,Houston,TX,8000,Southern Baptist Convention
Champions Centre,http://www.championscentre.com,Tacoma,WA,5500,"Independent, Nondenominational"
Chandler Christian Church,http://www.chandlercc.org,Chandler,AZ,2530,CHRISTIAN
ChangePoint,http://www.changepointalaska.com,Anchorage,AK,3300,"Independent, Nondenominational"
Chapel Springs,http://www.chapelsprings.org/,Bristow,VA,2500,Assemblies of God
Chapelwood United Methodist Church,http://www.chapelwood.org,Houston,TX,2253,United Methodist Church
Chase Oaks Church,http://www.chaseoaks.org,Plano,TX,5000,"Independent, Nondenominational"
Cherry Hills Community Church,http://www.chcc.org,Highlands Ranch,CO,6250,Evangelical Presbyterian Church
Chestnut Ridge Church,http://www.chestnutridgechurch.com,Morgantown,WV,2400,"Independent, Nondenominational"
Chicago Church of Christ,http://www.chicagochurch.org,Elmhurst,IL,2500,International Church of Christ
Chodae Community Church,http://www.njchodae.net,Norwood,NJ,2500,Korean Presbyterian Church
Christ Chapel,http://www.christchapel.org,Woodbridge,VA,1862,Assemblies of God
Christ Chapel Bible Church,http://www.ccbcfamily.org,Fort Worth,TX,4500,"Independent, Nondenominational"
Christ Church,http://www.christchurchnashville.org,Nashville,TN,4500,"Independent, Nondenominational"
Christ Church,http://www.christchurchnj.org,Rockaway,NJ,5000,"Independent, Nondenominational"
Christ Church,http://www.mychristchurch.com,Fairview Heights,IL,2100,United Methodist Church
Christ Church of Oak Brook,https://www.christchurch.us/,Oak Brook,IL,2600,"Independent, Nondenominational"
Christ Church of Oronogo,http://www.ccochurch.com,Oronogo,MO,2506,CHRISTIAN
Christ Church Plano,http://www.christchurchplano.org,Plano,TX,2500,Anglical
Christ Church United Methodist Church,http://www.echristchurch.org,Fort Lauderdale,FL,1800,United Methodist Church
Christ Community Chapel,http://www.ccchapel.com,Hudson,OH,4500,"Independent, Nondenominational"
Christ Community Church,http://www.christcommunityomaha.org,Omaha,NE,4200,Christian & Missionary Alliance
