EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,zip5
010587803,FIRST BAPTIST CHURCH OF CAPITOL HEIGHTS,% REV HAROLD DUGGER,6 CAPITOL HEIGHTS BLVD,CAPITOL HGTS,MD,20743-6214,1601,03,9,7000,196310,1,10,029002000,5,01,NA,0,0,06,0,12,NA,NA,NA,NA,KENNETH HARRIS,20743
010591773,CONGREGATION YALKUT HA URIM INC,% RABBI ISRAEL JAKOBOVITZ,6214 BENHURST RD,BALTIMORE,MD,21209-3807,0000,03,3,7000,200212,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X30,NA,21209
010609601,STRONG TOWER DELIVERANCE CENTER,% JOSEPH TOWE,100 E PATAPSCO AVE 2ND FL,BALTIMORE,MD,21225-1733,0000,03,3,7000,200807,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,21225
010610272,BRIDE OF CHRIST CHURCH MINISTRIES,% BENJAMIN W RUCKER,3500 ENTERPRISE RD,BOWIE,MD,20721-2560,0000,03,3,7000,200308,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X22,NA,20721
010613166,BRING IT TO LIFE MINISTRIES,% ARTHUR ROBINSON,4000 SINCLAIR LN,BALTIMORE,MD,21213-2134,0000,03,3,7100,200602,1,10,000000000,1,01,202412,4,4,06,0,12,382072,159813,159813,X20,NA,21213
010615097,KEYS OF FAITH MINISTRIES,% DAVID AND SHARON SMITH,5415 TAEALAMEDA,BALTIMORE,MD,21239-0000,0000,03,3,7000,200910,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,21239
010626658,AGAPE CHRISTIAN CHURCH INC,% MICHAEL NWAMOH,100 E TIMONIUM RD,TIMONIUM,MD,21093-3447,0000,03,3,7000,200210,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,21093
010628541,WORD OF LIFE OUTREACH MINISTRIES,% ALFRED J SMITH,PO BOX 112,FAIRPLAY,MD,21733-0112,0000,03,3,1000,200209,1,10,000000000,1,01,NA,0,0,06,0,01,NA,NA,NA,NA,NA,21733
010628604,THREE STEP MINISTRY OUTREACH,% DIANE M JOHNSON,4916 FABLE ST,CAPITOL HGTS,MD,20743-3931,0000,03,3,7000,200804,1,10,000000000,1,01,NA,0,0,06,0,06,NA,NA,NA,X20,NA,20743
010633518,TRUE WORSHIPPERS CHRISTIAN FELLOWSHIP MINISTRIES,% DAVID J ROBINSON JR,PO BOX 27297,BALTIMORE,MD,21216-0797,0000,03,3,7000,200306,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,21216
010640202,SET FREE PRISON MINISTRY,% REV BRIAN J DOUGLASS,PO BOX 777,NEW WINDSOR,MD,21776-0777,3317,03,9,7000,199112,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,NA,NA,21776
010640868,MIRACLE TEMPLE PENTECOSTAL CHURCH,% EDITH M JOHNSON,8787 BRANCH AVE APT 352,CLINTON,MD,20735-2630,0000,03,3,7000,201603,1,10,000000000,5,01,202503,0,0,06,0,03,0,0,0,X21,NA,20735
010706407,GREATER DELIVERANCE MINISTRIES INTERNATIONAL INC,% JENNIFER WYNN,7910 SCOTT RD,LANDOVER,MD,20785-2744,0000,03,3,7000,200209,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,20785
010722448,NEW GOOD SAMARITAN BAPTIST CHURCH,% REV DONALD RAY PALMORE,5936 FALKIRK RD,BALTIMORE,MD,21239-2211,0000,03,3,7000,200210,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,21239
010729558,RESTORATION AND GREATER WORKS DELIVERANCE MINISTRIES INC,% MARY E WILLIAMS,711 HARRY S TRUMAN DR APT 414,LARGO,MD,20774-2098,0000,03,3,7000,200309,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,20774
010733436,ROYAL PRIESTHOOD MINISTRIES INTERNATIONAL INC,% STEPHEN G OLUKOYA,23 W DIAMOND AVENUE STE 205,GAITHERSBURG,MD,20877-2187,0000,03,3,7000,200308,1,10,000000000,1,01,202212,3,4,06,0,12,35543,168262,168262,X21,ROYAL PLACE,20877
010738255,ALIVE AGAIN BAPTIST MINISTRIES,% WALTER W BROWN JR,2122 E FAIRMOUNT AVE,BALTIMORE,MD,21231-1641,0000,03,3,7000,200407,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,21231
010748115,CHRISTIAN LIFE CENTER INC,% BEN SLYE,5600 TAYLOR ROAD,RIVERDALE,MD,20737-2000,0000,03,3,7000,200408,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,20737
010757374,AT-ONE-MENT WITH GOD CHURCH,% CAROLYN WILSON,8192 WATERFORD RD,PASADENA,MD,21122-1241,0000,03,3,7000,200401,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X99,NA,21122
010759729,REHOBOTH MISSION BAPTIST CHURCH,% ANTHONY BROADHURST,11211 ODELL FARMS CT,BELTSVILLE,MD,20705-4108,0000,03,3,7000,200305,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,20705
010805122,MID ATLANTIC COMMUNITY CHURCH,NA,2485 DAVIDSONVILLE RD,GAMBRILLS,MD,21054-2111,0000,03,3,7000,202006,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,21054
010814106,WORD OF LIFE CHAPEL INTERNATIONAL,% EDWARD ONYINAH POKU,503 WALNUT GROVE RD,BALTIMORE,MD,21221-6097,0000,03,3,7000,200708,1,10,000000000,1,01,202412,4,4,06,0,12,239227,171656,171656,X20,NA,21221
010816557,OUT OF BONDAGE MINISTRIES INC,% BARBARA MCFARLAND,7603 PERRING TER,BALTIMORE,MD,21234-6120,0000,03,3,7000,201408,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,21234
010824859,HOPE FELLOWSHIP CHURCH,% BARBARA L ADAMS,16 GREENDALE PL,GREENBELT,MD,20770-1603,1601,03,9,7000,196310,1,10,029002000,5,01,NA,0,0,06,0,12,NA,NA,NA,NA,NA,20770
010848499,LA PLATA AFRICAN METHODIST EPISCOPAL CHURCH INC,% JAMILA J WOODS-JONES,PO BOX 566,LA PLATA,MD,20646-0566,2632,03,9,7000,197505,1,10,002000000,5,01,NA,0,0,06,0,12,NA,NA,NA,NA,NA,20646
010858129,LIFE APPLICATION APOSTOLIC BIBLE CHURCH,% MICHAEL B AJAYI,10754 RHODE ISLAND AVE,BELTSVILLE,MD,20705-2513,0000,03,3,7000,201307,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,20705
010862949,CHILDREN OF GOD,% DONALD LAWSON,PO BOX 52,CRISFIELD,MD,21817-0052,0000,03,3,7000,200610,1,10,000000000,1,01,NA,0,0,06,0,06,NA,NA,NA,X20,NA,21817
010870048,HIGHWAY BAPTIST CHURCH AND MINISTRIES,% OGDEN JONES,3340 FREDERICK AVE,BALTIMORE,MD,21229-3810,0000,03,3,7000,201007,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,21229
010870465,TABERNACLE INTERNATIONAL MINISTRIES,% SATURNIN C YADAMA-GBEBRY,PO BOX 830,LAUREL,MD,20725-0830,0000,03,3,7000,200612,1,10,000000000,1,01,NA,1,2,06,0,12,NA,NA,NA,X21,NA,20725
010875326,LION OF JUDAH BIBLE FELLOWSHIP CHURCH,% DWAYNE LAMBERT,1026 STARBOARD CT,EDGEWOOD,MD,21040-1332,0000,03,3,7000,200808,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,21040
010876421,CATHOLIC DAUGHTERS OF THE AMERICAS,NA,14200 TRIADELPHIA MILL RD,DAYTON,MD,21036-1224,0928,03,9,1700,194603,1,10,000000000,5,01,NA,0,0,13,0,12,NA,NA,NA,NA,2579 ST LOUIS,21036
010884971,SBC OUTREACH AND WORSHIP MINISTRIES,% DONNELL WRIGHT,2435 E MADISON ST,BALTIMORE,MD,21205-1732,0000,03,3,7000,200805,1,10,000000000,1,01,202012,5,4,06,0,12,655734,310908,310908,X99,NA,21205
010916186,CHURCH OF ZION DELIVERANCE MINISTRIES INC,% KAREN M PRESLEY,4311 BROKEN ARROW CT,CLINTON,MD,20735-9611,0000,03,3,7000,200904,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,20735
010920084,HOUSE OF MIRACLE MINISTRIES,NA,411 MOHICAN DR,FREDERICK,MD,21701-4714,0000,03,3,7000,201702,1,10,000000000,5,01,NA,0,0,06,0,12,NA,NA,NA,X20,ROBERT ANORCHIE,21701
010926792,THE REDEEMED CHRISTIAN CHURCH OF GOD GOSHEN PARISH ANNAPOLIS MD INC,% BABATUNDE GBADAMOSI PASTOR,6310 GLENN DALE RD,GLENN DALE,MD,20769-9207,0000,03,3,7000,201003,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,20769
010928344,TRUE GOSPEL CHURCH MINISTRY,% THIRKEL FREEMAN,3709 HASTINGS CT,WHITE PLAINS,MD,20695-3434,0000,03,3,7000,201010,1,10,000000000,1,01,202412,2,3,06,0,12,11024,52640,52640,X21,NA,20695
010933272,POWER OF THE HIGHEST MINISTRIES INTERNATIONAL,% DOROTHY NANGA,197 HARDY PL,ROCKVILLE,MD,20852-1206,0000,03,3,7000,201208,1,10,000000000,1,01,NA,1,3,06,0,12,NA,NA,NA,X20,NA,20852
010955564,AMERICAN EVANGELISTIC ASSOCIATION,% MARY BEASLEY,704 CHICHESTER LN,SILVER SPRING,MD,20904-3332,4228,03,9,7000,200310,2,10,000000000,5,01,202312,0,0,06,0,12,0,0,0,NA,HOPE MINISTRIES OF SILVER SPRINGS,20904
010958901,SALVATION OUTREACH AND DELIVERANCE MINISTRIES,% LINDA CALDWELL MCCOY,4512 BEECH RD,TEMPLE HILLS,MD,20748-6704,0000,03,3,1000,201705,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,20748
020537787,FAITH OUTREACH COMMUNITY CHURCH INC,% LLOYD GARRETT,3230 SCARLET OAK TER,BOWIE,MD,20715-1931,0000,03,3,7000,202302,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,20715
020547785,HOLY BIBLE CHURCH,% BISHOP CHARLES H WILSON JR,1800 N GAY ST,BALTIMORE,MD,21213-2502,0000,03,3,7000,200208,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,21213
020549237,TABERNACLES OF WORSHIP CHRISTIAN CENTER,% NOREEN BATTLE,PO BOX 496,BOWIE,MD,20718-0496,0000,03,3,7000,200412,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,20718
020552496,PENTACOSTAL CHURCH GETSEMANI,% PASTOR JOEL PORTILLO,12305 LA PLATA ST,SILVER SPRING,MD,20904-1807,0000,03,3,7000,200706,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,20904
020565983,ALLIANCE OF DIVINE LOVE INC,% REV STACEY ASTARA ROLL,1816 LAUREL BROOK RD,FALLSTON,MD,21047-2132,3054,03,9,7000,197702,1,10,001000000,5,01,NA,0,0,06,0,12,NA,NA,NA,NA,1264 CHAPEL,21047
020603042,TREE OF LIFE CHURCH,% PRISCILLA WHAIRE HSIA,8313 TUCKERMAN LN,POTOMAC,MD,20854-3747,3769,03,9,7000,200109,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,20854
020608285,CHRIST EMBASSY,% ALOYSIUS OKEI,1221 CARAWAY CT STE 1010,UPPR MARLBORO,MD,20774-5381,0000,03,3,1000,200302,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,20774
020609828,HOLY TRINITY CHURCH OF GOD IN CHRIST INC,% REV ARTHUR SHIELDS,4 CARTHAGE CT,RANDALLSTOWN,MD,21133-4534,1969,03,9,7000,196901,1,10,001000000,5,01,NA,0,0,02,0,12,NA,NA,NA,NA,NA,21133
020622764,SHIKINAH GLORY CHURCH OF GOD IN CHRIST,% TIMOTHY BALLARD JR,PO BOX 31842,BALTIMORE,MD,21207-8842,0000,03,3,7000,202206,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X99,NA,21207
020630797,ENCOURAGERS FOR CHRIST INC,% THOMAS R MCLEAN,6601 HUNTER TRAIL WAY,FREDERICK,MD,21702-2986,0000,03,3,7000,200308,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,21702
020636853,SHEKINAH NEW LIFE MINISTRIES OF THE LORD JESUS CHRIST,% JESSE V STEVENS,432 POSSUM CT,CAPITOL HGTS,MD,20743-3523,0000,03,3,7000,200410,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,20743
020637378,EMMANUEL WORSHIP AND DELIVERANCE CENTER,% JAMES B SMITH,1209 11 E 25TH ST,BALTIMORE,MD,21218-0000,0000,03,3,7000,201106,1,10,000000000,1,01,NA,3,3,06,0,12,NA,NA,NA,X20,NA,21218
020639240,HOPE EVANGELISTIC CHURCH,% PAUL ALEXANDER,8214 CAGLE RD,FT WASHINGTON,MD,20744-5507,0000,03,3,7000,200309,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,20744
020641715,KINGDOM CHURCH AND MINISTRIES INC,% PAULA I TAYLOR,2620 CAMBRIDGE BELTWAY,CAMBRIDGE,MD,21613-2969,0000,03,3,7000,200309,1,10,000000000,1,01,NA,0,0,06,0,08,NA,NA,NA,X21,NA,21613
020645409,NEW MOUNT OLIVE BAPTIST CHURCH,% LEWIS G ROBINSON,PO BOX 66462,BALTIMORE,MD,21239-6462,0000,03,3,7000,200503,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,21239
020656183,NEW BEGINNING WAY OF THE CROSS CHURCH OF CHRIST,% SHAKEEM BOONE,PO BOX 2055,CLINTON,MD,20735-7055,0000,03,3,7000,200310,1,10,000000000,1,01,202412,5,4,06,0,12,597901,196881,196881,X21,NA,20735
020658139,FLYING EAGLES MINISTRIES INC,% MARY D EDWARDS,PO BOX 8505,ELKRIDGE,MD,21075-8505,0000,03,3,7000,200608,1,10,000000000,1,01,202412,0,0,06,0,12,0,0,0,X20,NA,21075
020662534,LIVING HOPE CHURCH OF SEVERN INC,NA,672 OLD MILL RD,MILLERSVILLE,MD,21108-1363,0000,03,3,7120,200310,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X202,NA,21108
020665870,CHRIST TABERNACLE CHURCH MINISTRIES INC,% SHEILIA M HINDS,3028 WALLFLOWER DR,LA PLATA,MD,20646-0000,0000,03,3,7000,200405,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,NA,NA,20646
020669776,KINGDOM OF PRAISE,% CALVIN HUGHES JR,4714 ERDMAN AVE,BALTIMORE,MD,21205-3102,0000,03,3,7100,200406,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,21205
020685641,TEMPLE OF HOLINESS INC,% LINDA L BATES,12908 CLOVERLY DR,UPPR MARLBORO,MD,20774-1902,0000,03,3,7000,200405,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,20774
020725809,CHRIST DOMINON CHURCH GOD,% MICHAEL OLAWALE,15445 DEPOT LN,UPPR MARLBORO,MD,20772-3157,0000,03,3,7000,200604,1,10,000000000,1,01,202412,0,0,06,0,12,0,0,0,X21,NA,20772
020744147,EBENEZA WE CARE WE SHRE COMMUNITY MINISTRY INC,% CHARLES BERRY,5915 89TH AVE,NEW CARROLLTN,MD,20784-2819,0000,03,3,7120,200610,1,10,000000000,1,01,202312,0,0,06,0,12,0,0,0,X212,NA,20784
020747897,GROWING BY GRACE INTERNATIONAL MINISTRIES,NA,8997 BI STATE BLVD,DELMAR,MD,21875-2362,0000,03,3,7000,200611,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,21875
020748851,IGLESIA PENTECOSTAL EL APOSENTO ALTO,% JOSE ALBERTO RAMOS,112 SPRING ST,GAITHERSBURG,MD,20877-1922,0000,03,3,7000,200804,1,10,000000000,1,01,202212,0,0,06,0,12,0,0,0,X200,NA,20877
020754708,WASHINGTON INDIAN PENTACOSTAL CHURCH,% WASHINGTON IPC,6330 TROTTER RD,CLARKSVILLE,MD,21029-1208,0000,03,3,7000,202509,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,21029
020768315,INTERNATIONAL CHURCH OF WORSHIPPERS,NA,15440 GENERAL LAFAYETTE BLVD,BRANDYWINE,MD,20613-7708,0000,03,3,7000,201202,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,20613
020808133,PILGRIM CHRISTIAN BAPTIST CHURCH,% JAMES E FORMAN,2305 MCELDERRY ST,BALTIMORE,MD,21205-2415,3317,03,9,7000,199112,1,10,000000000,1,01,NA,0,0,06,0,06,NA,NA,NA,NA,NA,21205
020815624,OPEN HEART RESTORATION MINISTRIES,% GREGORY WAYNE COVINGTON II,3114 GEORGETOWN RD,BALTIMORE,MD,21230-1008,0000,03,3,7000,202307,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,NA,NA,21230
030383715,CHURCH OF GOD OF BELTSVILLE,% ANNIE E SENESIE,7150 CHESAPEAKE RD STE 101,HYATTSVILLE,MD,20784-2355,0000,03,3,7000,200601,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,20784
030394599,T C PRUITT MINISTRIES INC,% THOMAS C PRUITT,169 LAMONT LN,GAITHERSBURG,MD,20878-2798,0000,03,3,7000,200210,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,20878
030409986,FAITH HEALING MINISTRY,% REV DR MARTHA C HILL,PO BOX 1400,ABINGDON,MD,21009-6400,3317,03,9,7000,199112,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,NA,NA,21009
030413129,WASHINGTON KALI TEMPLE & HUMAN DEVELOPMENT CENTER,% PRADIA K GHOSH,16126 NEW COLUMBIA PIKE,BURTONSVILLE,MD,20866-1037,0000,03,3,7000,201104,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X70,NA,20866
030420587,GODS CHURCH OF GRACE AND MERCY,% PAUL C JOHNSON,1201 03 N GAY ST,BALTIMORE,MD,21213-0000,0000,03,3,7000,200208,1,10,000000000,1,01,NA,1,3,06,0,12,NA,NA,NA,X21,NA,21213
030426836,BETHLEHEM A M E CHURCH,% MARIETTA RAMSEY,PO BOX 1652,BALTIMORE,MD,21203-1652,0000,03,3,7000,200311,1,10,000000000,1,01,NA,0,0,06,0,06,NA,NA,NA,X21,NA,21203
030430057,WORTHYLIFE CHURCH,REV JOONG LEE,6810 RENITA LN,BETHESDA,MD,20817-1549,1601,03,9,7000,196310,1,10,029002000,5,01,NA,0,0,06,0,12,NA,NA,NA,NA,NA,20817
030433123,IGLESIA EVANGELICA CRISTO TE LLAMA INC,% JONATHAN FUENTES,15600 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20905-4078,0000,03,3,7000,200308,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,20905
030433447,SPANISH CHURCH OF GOD,% MIGUEL TORRES,3000 BUCK LODGE RD,ADELPHI,MD,20783-1521,2358,03,9,7000,197210,1,10,001000000,5,01,NA,0,0,06,0,12,NA,NA,NA,NA,10766,20783
030439869,CENTRAL MARYLAND HOUSE CHURCH NETWORK,% LOUIS ENOFF,2154 ENOFF DR,WESTMINSTER,MD,21157-8011,0000,03,3,7000,200206,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,21157
030447108,HEALING THE LAND MINISTRIES,% DOUGLAS E WILLIAMS,2700 W MOSHER ST,BALTIMORE,MD,21216-4314,0000,03,3,7000,200404,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,21216
030447891,INTERNATIONAL CHRISTIAN COMMUNITY CHURCH,% THOMAS MWAURA,3406 BELAIR RD,BALTIMORE,MD,21213-1248,0000,03,3,7000,200412,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,21213
030457733,HAN-SARANG EVANGELICAL PRESBYTERIAN CHURCH,% BYUNGEUN KIM,1624 MILLERSVILLE RD,MILLERSVILLE,MD,21108-2118,8534,03,9,7000,197404,1,10,001000000,1,01,NA,0,0,06,0,12,NA,NA,NA,NA,NA,21108
030462105,AGAPE OUTREACH INC,% PETER EZEKWENNA,304 UNION AVE,SALISBURY,MD,21801-3660,1620,03,9,7000,196402,0,10,000000000,5,01,NA,0,0,06,0,12,NA,NA,NA,NA,NA,21801
030465586,MESSIAH CHRISTIAN CENTER,% REV DR JOSEPH A FOBBS PASTOR,3814 PARK LAKE DR,ROCKVILLE,MD,20853-3200,0000,03,3,2000,200304,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,20853
030466611,REDEEMED CHRISTIAN CHURCH OF GOD INC,% PASTOR MARGARET ADEYOKUNNU,PO BOX 3014,LAUREL,MD,20709-3014,0000,03,3,7000,200211,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,20709
030475252,DIVINE DELIVERANCE APOSTOLIC FAITH CHURCH,% SADIE ROANE,5217 REISTERSTOWN RD,BALTIMORE,MD,21215-5018,0000,03,3,7000,201409,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,21215
030489609,GRACE INTERNATIONAL DELIVERANCE CHURCH,% ASTON MILLER,10739 TUCKER ST STE 100,BELTSVILLE,MD,20705-2220,0000,03,3,7000,200603,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,20705
030495143,GREATER FAITH TABERNACLE CHURCH,% DEBORAH V BURRUS,7401 CASTLEMOOR RD,WINDSOR MILL,MD,21244-2807,0000,03,3,7100,200407,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,21244
030499215,REDEEMING LIFE MINISTRIES INTERNATIONAL INC,% DANIEL B SALLEY JR,7845 PORT TOBACCO RD,PORT TOBACCO,MD,20677-3133,0000,03,3,7000,200902,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X99,NA,20677
030502297,EMMANUEL CHURCH OF MARYLAND INC,% WON KI KIM,16919 HARBOUR TOWN DR,SILVER SPRING,MD,20905-8013,0000,03,3,7000,200306,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,20905
030510375,APOSTOLIC CHURCH BELAIR ASSEMBLY,% JOHN FADIORA,4437 BELAIR RD,BALTIMORE,MD,21206-6337,0000,03,3,7000,200309,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,21206
030520422,TRAIN UP A CHILD MINISTRY,% LINDA WILLIAMS,2301 SENATOR AVE,DISTRICT HTS,MD,20747-3355,0000,03,3,7000,200402,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X21,NA,20747
030523255,DISCIPLES FELLOWSHIP INTERNATIONAL,% COLESVILLE BAPTIST CHURCH,1300 ANDREWS DRIVE,SILVER SPRING,MD,20904-0000,1601,03,9,7000,196310,1,10,029002000,5,01,NA,0,0,06,0,12,NA,NA,NA,NA,NA,20904
030529498,KINGDOM CENTER MINISTRIES,% EZIO ROSS,PO BOX 47065,BALTIMORE,MD,21244-7065,0000,03,3,7000,200707,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,X20,NA,21244
030532384,CHRIST FOUNDATION FAMILY CHURCH,% LESLIE TEX BUABASAH,18919 EARHART CT,GAITHERSBURG,MD,20879-0000,0000,03,3,7000,200509,1,10,000000000,1,01,NA,0,0,06,0,12,NA,NA,NA,NA,NA,20879
030534404,FIRST NIGERIAN BAPTIST CHURCH,% SAMSON OMOTOSHO,10701 CHAPELDALE RD,RANDALLSTOWN,MD,21133-1044,0000,03,3,7000,200410,1,10,000000000,1,01,202412,4,4,06,0,12,267495,118048,118048,X21,CHRISTOS BAPTIST CHURCH,21133
030541868,WORD HEALING OUTREACH MINISTRIES INC,% WILLIE E BRUCE JR,12920 ASBURY DR,FT WASHINGTON,MD,20744-6445,0000,03,3,1000,200608,1,10,000000000,1,01,NA,2,3,06,0,12,NA,NA,NA,X200,WHOM,20744
